date,home_score,away_score,tournament,neutral,elo_home_pre,elo_away_pre,elo_diff,result,home_age_mean,home_age_std,home_value_mean,home_value_std,away_age_mean,away_age_std,away_value_mean,away_value_std,age_mean_diff,age_std_diff,value_mean_diff,value_std_diff
2022-06-05,0.0,0.0,Friendly,False,1940.1,2000.3,39.8,D,23.72,3.77,8441666.67,10267948.38,26.81,4.6,11986111.11,14171061.14,-3.09,-0.8299999999999996,-3544444.4399999995,-3903112.76
2022-06-05,0.0,1.0,Friendly,True,1758.8,1960.5,-201.7,A,27.46,3.69,870394.74,623520.76,27.26,3.51,5315384.62,6685567.63,0.1999999999999993,0.1800000000000001,-4444989.88,-6062046.87
2022-06-05,1.0,2.0,UEFA Nations League,False,1881.0,1805.1,175.9,A,28.03,4.04,4819736.84,8749402.53,26.56,3.32,11991025.64,30782962.05,1.4700000000000024,0.7200000000000002,-7171288.800000001,-22033559.520000003
2022-06-05,2.0,2.0,UEFA Nations League,False,1888.0,2078.6,-90.6,D,27.97,2.83,4161029.41,6969996.6,24.97,4.48,30045454.55,20030417.64,3.0,-1.6500000000000004,-25884425.14,-13060421.04
2022-06-05,0.0,0.0,Friendly,True,1936.0,1911.0,25.0,D,26.26,5.49,4012121.21,3425639.3,24.0,4.76,2385714.29,3242454.35,2.2600000000000016,0.7300000000000004,1626406.92,183184.94999999972
2022-06-05,4.0,0.0,UEFA Nations League,False,2041.6,1966.1,175.5,H,27.78,5.02,32058333.33,24496081.04,27.32,3.71,8772368.42,8979499.29,0.4600000000000008,1.3099999999999996,23285964.909999996,15516581.75
2022-06-06,0.0,1.0,Friendly,False,1908.8,2221.8,-213.1,A,26.26,4.12,2947435.9,5334153.97,26.94,4.36,30242857.14,25369095.77,-0.6799999999999997,-0.2400000000000002,-27295421.24,-20034941.8
2022-06-06,1.0,1.0,UEFA Nations League,False,1846.2,2122.8,-176.6,D,26.18,4.0,11381818.18,10516983.51,26.49,3.91,42277777.78,32929732.52,-0.3099999999999987,0.0899999999999998,-30895959.6,-22412749.01
2022-06-07,1.0,1.0,UEFA Nations League,False,2024.4,2061.2,63.3,D,27.31,3.86,26888888.89,22332124.07,26.61,3.51,43148648.65,30078470.54,0.6999999999999993,0.3500000000000001,-16259759.759999998,-7746346.469999999
2022-06-09,2.0,0.0,UEFA Nations League,False,2061.6,1893.1,268.6,H,27.78,5.02,32058333.33,24496081.04,27.97,2.83,4161029.41,6969996.6,-0.1899999999999977,2.1899999999999995,27897303.92,17526084.439999998
2022-06-09,0.0,1.0,UEFA Nations League,False,1946.1,2073.5,-27.4,A,27.32,3.71,8772368.42,8979499.29,24.97,4.48,30045454.55,20030417.64,2.3500000000000014,-0.7700000000000005,-21273086.130000003,-11050918.35
2022-06-09,2.0,1.0,African Cup of Nations qualification,False,1824.5,1647.5,277.0,H,25.77,3.85,7743421.05,13301217.65,26.3,3.05,641176.47,544385.86,-0.5300000000000011,0.8000000000000003,7102244.58,12756831.79
2022-06-09,4.0,0.0,CONCACAF Nations League,False,1920.6,1550.1,470.5,H,25.02,4.42,4973717.95,13205320.11,27.39,5.02,557142.86,1019895.62,-2.370000000000001,-0.5999999999999996,4416575.09,12185424.49
